artist_id,total_followers,genres,name,artist_popularity
7IfculRW2WXyzNQ8djX8WX,3013218,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",Erykah Badu,70
6IKlXZEFOvk9itrP1s0knJ,564937,['modern country pop'],The Red Clay Strays,73
3GBPw9NK25X1Wt2OUvOwY3,3910625,['neo mellow'],Jack Johnson,77
7LnaAXbDVIL75IVPnndf7w,1263530,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Jamie Foxx,71
5ndkK3dpZLKtBklKjxNQwT,2122302,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",B.o.B,75
5zmTJA6eWcsmxevyQoK9iB,14133,['country pop'],Josh Mirenda,42
0pu0ZEMZtgePMOE6m19Cne,171138,['singer-songwriter pop'],Jared Benjamin,57
1l7ZsJRRS8wlW3WfJfPfNS,8604616,"['dance pop', 'pop']",Christina Aguilera,80
0SCbttzoZTnLFebDYmAWCm,1521533,"['glee club', 'post-teen pop']",Glee Cast,71
7KkqUt65v6LMtR369OQ6FB,132779,"['broadway', 'hollywood', 'movie tunes', 'show tunes']",Jonathan Groff,65
13YmWQJFwgZrd4bf5IjMY4,2831119,"['contemporary country', 'country', 'country road']",Brad Paisley,67
5rkVyNGXEgeUqKkB5ccK83,3235791,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",Ashanti,73
2NdeV5rLm47xAvogXrYhJX,6820332,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",Ciara,72
3DgcBA7P0ji5co7Z1Gfp2Q,171285,"['broadway', 'show tunes']",Kristin Chenoweth,70
0EmeFodog0BfCgMzAIvKQp,35512366,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Shakira,88
1gPhS1zisyXr5dHTYZyiMe,6297749,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Kevin Gates,73
2KsP6tYLJlTBvSUxnwlVWa,1413739,"['dance pop', 'pop', 'pop dance', 'pop rap']",Mike Posner,71
0RKP52f5PNDCRZ9Luq2Sr7,474512,"['contemporary country', 'country road']",Jerrod Niemann,48
0GWCNkPi54upO9WLlwjAHd,2651401,"['boy band', 'pop', 'post-teen pop']",Big Time Rush,66
2RdwBSPQiwcmiDo9kixcl8,4908023,"['dance pop', 'pop']",Pharrell Williams,82
6JrmofdhxBatsnpTA10CHB,59927,['bible'],Streetlights,47
0FWzNDaEu9jdgcYTbcOa4F,1012010,"['dance pop', 'electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']",3OH!3,64
0ptwmBT4p9e9GnbSLIMSDf,24,[],GleeGroove,14
5Zq7R5qmi58ByYyBQTlNuk,2310265,"['contemporary country', 'country', 'country road', 'modern country rock']",Lee Brice,71
74eX4C98E4FCrAMl39qRsJ,2166540,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",Theory of a Deadman,64
4uCTaITbiYdRtXnd80adAW,338,[],The Notre Dame Glee Club,13
2h93pZq0e7k5yf4dywlkpM,16410235,"['lgbtq+ hip hop', 'neo soul']",Frank Ocean,89
0TnOYISbd1XYRBk9myaseg,10994819,"['dance pop', 'miami hip hop', 'pop']",Pitbull,86
73Np75Wv2tju61Eo9Zw4IR,508637,"['hollywood', 'movie tunes', 'show tunes']",Idina Menzel,76
3ppQEG71r7jVpI8RudzycF,383411,['cali rap'],OHGEESY,69
0nmQIMXWTXfhgOBdNzhGOs,9325187,['alternative metal'],Avenged Sevenfold,78
6CZN3MHeeEXh5PxKZivIa8,17115,[],Cola Boyy,36
6yJCxee7QumYr820xdIsjo,3954288,"['contemporary country', 'country', 'country road', 'modern country rock']",Zac Brown Band,72
2JX4h8xm0hNxCB0aNBWzyi,601846,"['conscious hip hop', 'dancehall', 'reggae fusion']",Gyptian,58
1KNNZV9twnpQBqyUoGvWA6,67569,['idol'],Lee DeWyze,40
2ry5nwK1VNmh5zMZpmOAyc,5345,['brill building pop'],Bob B. Soxx & The Blue Jeans,34
0FBRY66KVaAiddGVefikLB,87432,"['house', 'tech house', 'uk dance', 'uk house']",WEISS,57
7KNW6OwcA260MsaEtnvhxV,1209,['movie tunes'],Beth Fowler,44
0fiWOxhsBsQQvFDtxUQWo0,1167326,"['contemporary country', 'country', 'country road']",Brett Young,67
74XFHRwlV6OrjEM0A2NCMF,8917841,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",Paramore,80
6l3HvQ5sa6mXTsMTB19rO5,25044268,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",J. Cole,87
1sBkRIssrMs1AbVkOJbc7a,7414863,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",Rick Ross,77
6MF9fzBmfXghAz953czmBC,2265608,"['dance pop', 'pop', 'pop rap']",Taio Cruz,71
63wjoROpeh5f11Qm93UiJ1,2029499,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",Keri Hilson,71
7kFfY4UjNdNyaeUgLIEbIF,1858488,"['detroit hip hop', 'r&b', 'trap', 'trap queen']",DeJ Loaf,67
3CygdxquGHurS7f9LjNLkv,2817566,"['contemporary country', 'country', 'country dawn', 'country road']",Little Big Town,63
3kCN1Q6YPXCtKflf3NPXKw,4642,[],V.C.R,33
0RpddSzUHfncUWNJXKOsjy,1239938,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",Neon Trees,66
1Vvvx45Apu6dQqwuZQxtgW,1270422,"[""children's music""]",Kidz Bop Kids,68
1jpObIFmNOGfBc93WowfkT,35383,['chill house'],Lynnic,66
21E3waRsmPlU7jZsS13rcj,9306739,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Ne-Yo,83
7sfl4Xt5KmfyDs2T3SVSMK,1627897,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",Lil Jon,75
2KDt9Rz3p86mUcACqo6sNF,6131,['burmese pop'],GUNN,35
3TOqt5oJwL9BE2NG9MEwDa,6971213,"['alternative metal', 'nu metal', 'rap metal', 'rock']",Disturbed,77
4uKEP0JYfpFtngWlgViewd,275785,['memphis hip hop'],Lil Double 0,61
6GMYJwaziB4ekv1Y6wCDWS,2175748,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Soulja Boy,70
6w71vXwHI2Oz6I5OO41tRM,6886,[],LaToiya Williams,69
7hlcwaLWsbcwOkPtdxRoCa,12290,[],ROME,46
2qgvmDsc4jrqbAbjq1HGM2,1925644,"['contemporary country', 'country', 'country road']",Rodney Atkins,66
2Sqr0DXoaYABbjBo9HaMkM,1956232,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",Sara Bareilles,65
5K4W6rqBFWDnAN6FQUkS6x,28083888,"['chicago rap', 'hip hop', 'rap']",Kanye West,93
7H55rcKCfwqkyDFH9wpKM6,3966182,['pop'],Christina Perri,73
0jnsk9HBra6NMjO2oANoPY,8718493,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Flo Rida,81
6S2OmqARrzebs0tKUEyXyp,26824895,"['pop', 'post-teen pop']",Demi Lovato,78
7qG3b048QCHVRO5Pv1T5lw,11243880,"['dance pop', 'latin pop', 'mexican pop']",Enrique Iglesias,79
5chF6eWietLUxodwje2c4M,98759,['krushclub'],K3NT4!,59
75FnCoo4FBxH5K1Rrx0k5A,1600048,"['contemporary country', 'country', 'country dawn', 'country road']",The Band Perry,57
40giwFcTQtv9ezxW8yqxJU,360294,"['indie pop rap', 'philly rap', 'pop rap']",Chiddy Bang,50
7nU4hB040gTmHm45YYMvqc,4759527,"['pop', 'post-teen pop']",Hannah Montana,64
5icKdCmMhNMYoAzVBAWt39,1741827,"['canadian hip hop', 'ottawa rap']",Dax,68
6jJ0s89eD6GaHleKKya26X,35047311,['pop'],Katy Perry,86
0hYxQe3AK5jBPCr5MumLHD,1942492,"['contemporary country', 'country', 'country dawn', 'country road']",Sugarland,59
1wgY8huggK60P5nvYrwcYT,243986,['indie pop rap'],Asher Roth,45
0vEsuISMWAKNctLlUAhSZC,1819341,"['neo mellow', 'pop rock', 'post-grunge', 'rock']",Counting Crows,70
6s22t5Y3prQHyaHWUN1R1C,3487470,['pov: indie'],AJR,73
6XyY86QOPPrYVGvF9ch6wz,27712063,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Linkin Park,93
6S0dmVVn4udvppDhZIWxCr,3422789,"['dance pop', 'miami hip hop', 'pop']",Sean Kingston,73
44jcFoLsZzDLdGDOauAnvG,24,[],Kelly Dodson,6
1g1yxsNVPhMUl9GrMjEb2o,1280323,"['modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock']",Plain White T's,64
2VCRd5F9I0nurK4HrSpVM2,733,[],Love Like Enemies,13
3gd8FJtBJtkRxdfbTu19U2,6460927,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",Mumford & Sons,73
2gBjLmx6zQnFGQJCAQpRgw,3129078,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",Nelly,76
0a1gHP0HAqALbEyxaD5Ngn,3600301,"['contemporary country', 'country', 'country road']",Rascal Flatts,70
04gDigrS5kc9YWfZHwBETP,43263527,['pop'],Maroon 5,87
5xUf6j4upBrXZPg6AI4MRK,4591727,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",Soundgarden,69
0A0FS04o6zMoto8OKPsDwY,3370545,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",YG,75
5nLYd9ST4Cnwy6NHaCxbj8,649357,"['atl hip hop', 'pop rap']",CeeLo Green,66
7gSjFKpVmDgC2MMsnN8CYq,2107703,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",Jazmine Sullivan,64
3EVsC9ZK7QMDuK4FPcZaEq,152091,"['classic oklahoma country', 'modern country pop', 'oklahoma country', 'texas country']",Josh Meloy,68
6dJeKm76NjfXBNTpHmOhfO,9932421,['pop'],Selena Gomez & The Scene,69
2LAqcqAQ8KPTsl1HBgBrqM,19306,['hollywood'],Michelle Williams,61
1moxjboGR7GNWYIMWsRjgG,6915728,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",Florence + The Machine,78
360IAlyVv4PCEVjgyMZrxK,5410763,"['r&b', 'urban contemporary']",Miguel,81
1ZwdS5xdxEREPySFridCfh,19663764,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2Pac,82
2gHcqnIrEwW1HxDC2ZjTkX,159,[],Kurt Hummel,14
03LrVEyBeSk6oQFWTBOxsh,4,[],ANGEL BIONICO,29
64KEffDW9EtZ1y2vBYgq8T,33906667,"['brostep', 'edm', 'pop', 'progressive electro house']",Marshmello,85
